first_name,last_name,sex,email,email_2,teacher_category,tags,phone,mobile,school_name,school_category,industry,file_name,sheet_name
John,Doe,M,JohnDoe@example.com,,Others,,,,Riverdale Secondary,Secondary School,Schools,data2.xlsx,Sheet2
Jane,Smith,F,jane.smith@example.com,,Others,,55512345,,Riverdale Secondary,Secondary School,Schools,data2.xlsx,Sheet2
Robert,Brown,,robert.brown@example.com,,Others,Creative,55523456,,Rossmoyne SHS,Secondary School,Schools,data3.xlsx,Sheet3
Emily,Davis,,emily.davis@example.com,,Student,,,,,Primary School,Schools,data2.xlsx,Sheet4
Michael,Wilson,,michael.wilson@example.com,,Primary,,55545678,,Rossmoyne SHS,Secondary School,Schools,data1.xlsx,Sheet3
Jessica,Taylor,F,jessica.taylor@example.com,,Secondary,Implement with research,55556789,55509876,Rossmoyne SHS,Secondary School,Schools,data1.xlsx,Sheet2
David,Anderson,,david.anderson@example.com,111122222@student.uwa.edu.au,Senior,,,,,Primary School,Schools,data2.xlsx,Sheet5
Sarah,Moore,,sarah.moore@example.com,,Junior,,40178901,,,Primary School,,data2.xlsx,Sheet5
Daniel,Jackson,M,daniel.jackson@example.com,,,,,,,Composite School,Schools,data3.xlsx,Sheet4
Laura,Martin,,laura.martin@example.com,,,,55590123,,Curtin University,,,data1.xlsx,Sheet10
Charles,Lee,M,charles.lee@example.com,11113333@student.uwa.edu.au,Junior,,,,Pine Hill Elementary,Composite School,Schools,data1.xlsx,Sheet2
Sophia,Harris,F,sophia.harris@example.com,,,,,55532109,Elmwood Middle,Composite School,Schools,data2.xlsx,Sheet2
James,Clark,,james.clark@example.com,,,,55523456,55521098,Cedar High,Primary School,,data3.xlsx,Sheet3
Olivia,Walker,,olivia.walker@example.com,,Senior,,,,Harvey SHS,Secondary School,,data1.xlsx,Sheet1
Henry,Hall,,henry.hall@example.com,,Teacher,,,,Birch Primary,Primary School,,data1.xlsx,Sheet2
Lily,Allen,F,lily.allen@example.com,,Primary,,,55598765,Oak High,,,data1.xlsx,Sheet3
Joseph,Young,M,joseph.young@example.com,89899898@student.uwa.edu.au,,,,,Spruce Elementary,,Schools,data1.xlsx,Sheet4
Mia,King,,mia.king@example.com,,Primary,Engagement,,55576543,Sorrento Primary School,Primary School,Schools,data1.xlsx,Sheet3
Ethan,Scott,,ethan.scott@example.com,,Teacher,Creativity,55589012,,Sorrento Primary School,Primary School,,data1.xlsx,Sheet1
Ava,Adams,F,ava.adams@example.com,,,,,,Edith Cowan University,,,data2.xlsx,Sheet2
Lucas,Baker,M,lucas.baker@example.com,,,,,,Edith Cowan University,,,data2.xlsx,Sheet1
Isabella,Nelson,,isabella.nelson@example.com,,Teacher,Collaboration,,,,,Schools,data2.xlsx,Sheet2
Matthew,Carter,,matthew.carter@example.com,,Teacher,,55523456,55521098,,,Schools,data3.xlsx,Sheet3
Amelia,Mitchell,,amelia.mitchell@example.com,,,,55534567,55510987,,,Schools,data2.xlsx,Sheet4
Alexander,Perez,M,alexander.perez@example.com,,Teacher,,55545678,,,,,data2.xlsx,Sheet5
Charlotte,Roberts,F,charlotte.roberts@example.com,,Teacher,,,,Harvey SHS,Secondary School,Schools,data2.xlsx,Sheet5
William,Turner,,william.turner@example.com,william.turner@uwa.student.edu.au,Teacher,,,55587654,Hedland SHS,Primary School,Schools,data2.xlsx,Sheet4
Emma,Phillips,F,emma.phillips@example.com,,Teacher,,,55576543,Harvey SHS,Secondary School,Schools,data2.xlsx,Sheet2
Benjamin,Campbell,,benjamin.campbell@example.com,benjamin.campbell@altmail.com,Others,,,,Hedland SHS,Secondary School,Schools,data2.xlsx,Sheet2
Evelyn,Parker,,evelyn.parker@example.com,,Student,,,,Cecil Andrews College,,Schools,data3.xlsx,Sheet3
